type,properties.streamorder,properties.streamID,properties.followingStreamID,properties.id,geometry.type,geometry.coordinates
Feature,2,2347,2302,2347_12,Point,-73.19254474833429;10.316842737291747
Feature,2,2347,2302,2347_13,Point,-73.1987735539322;10.313455804703523
Feature,2,2347,2302,2347_14,Point,-73.20501750179716;10.30913966325765
Feature,2,2347,2302,2347_15,Point,-73.20997217751179;10.308818805557822
Feature,2,2347,2302,2347_16,Point,-73.21514546561212;10.304327280032082
Feature,2,2347,2302,2347_17,Point,-73.2178335808627;10.300363896445587
Feature,2,2347,2302,2347_18,Point,-73.2225261061671;10.29660842087227
Feature,2,2347,2302,2347_19,Point,-73.2227015635488;10.295147785977491
Feature,3,2703;2850;2851,2576,2703_1,Point,-73.11652407826557;10.48040473762691
Feature,3,2703,2576,2703_2,Point,-73.12138368973329;10.476455985669611
Feature,3,2703,2576,2703_3,Point,-73.12641538150348;10.475672068521272
Feature,3,2703,2576,2703_4,Point,-73.13109909997438;10.474237771148374
Feature,3,2703,2576,2703_5,Point,-73.13541016223154;10.468763014528093
Feature,3,2703,2576,2703_6,Point,-73.13926795965706;10.464899671913654
Feature,3,2705;2775;2776,2576,2705_1,Point,-73.13388112137622;10.449319690956871
Feature,3,2705,2576,2705_2,Point,-73.13676925494845;10.455079897532965
Feature,3,2705,2576,2705_3,Point,-73.13910893901036;10.460933380448486
Feature,3,2705,2576,2705_4,Point,-73.1398240145737;10.463546943749353
Feature,3,2706;2918;2919,2576,2706_1,Point,-73.1139831229791;10.462581462823296
Feature,3,2706,2576,2706_2,Point,-73.11859621418142;10.461200233125309
Feature,3,2706,2576,2706_3,Point,-73.12325952625075;10.462135405963254
Feature,3,2706,2576,2706_4,Point,-73.12765525416192;10.460082565805392
Feature,3,2706,2576,2706_5,Point,-73.13363793353184;10.461330111454664
Feature,3,2706,2576,2706_6,Point,-73.139114167972;10.462836012638055
Feature,3,2706,2576,2706_7,Point,-73.1398240145737;10.463546943749353
Feature,1,2719,2667,2719_1,Point,-73.12778303950232;10.491499709383215
Feature,1,2719,2667,2719_2,Point,-73.1332872322009;10.487526854108514
Feature,1,2719,2667,2719_3,Point,-73.1369349117333;10.484023905756096
Feature,1,2719,2667,2719_4,Point,-73.1405273956192;10.483438684264245
Feature,5,2726,896,2726_1,Point,-72.982808528468;10.70456530165444
Feature,5,2726,896,2726_2,Point,-72.98823622908014;10.702361230811473
Feature,5,2726,896,2726_3,Point,-72.99488628770017;10.702507634660492
Feature,5,2726,896,2726_4,Point,-72.99830425775272;10.695634825089181
Feature,5,2726,896,2726_5,Point,-72.998143810204;10.690043774282254
Feature,5,2726,896,2726_6,Point,-73.0015127773577;10.68344404309419
Feature,5,2726,896,2726_7,Point,-73.00756603738283;10.67821132875922
Feature,5,2726,896,2726_8,Point,-73.00901151041671;10.671379569060777
Feature,5,2726,896,2726_9,Point,-73.01412905714007;10.666259820982274
Feature,5,2726,896,2726_10,Point,-73.02064004826374;10.661611249960794
Feature,5,2726,896,2726_11,Point,-73.02832555295377;10.66183527832561
Feature,5,2726,896,2726_12,Point,-73.03354891990305;10.657087997149024
Feature,5,2726,896,2726_13,Point,-73.03653360343026;10.653005211155586
Feature,5,2726,896,2726_14,Point,-73.04310388242612;10.649911315359065
Feature,5,2726,896,2726_15,Point,-73.04837163451445;10.646524743478093
Feature,5,2726,896,2726_16,Point,-73.05391167212579;10.64330660194899
Feature,5,2726,896,2726_17,Point,-73.0592489934142;10.63719434477924
Feature,5,2726,896,2726_18,Point,-73.06459122894084;10.63350245264975
Feature,5,2726,896,2726_19,Point,-73.07049135764706;10.629355092669591
Feature,5,2726,896,2726_20,Point,-73.07677043518815;10.624477830938437
Feature,5,2726,896,2726_21,Point,-73.08165599018434;10.61855605603784
Feature,5,2726,896,2726_22,Point,-73.08478120516365;10.6116191895588
Feature,5,2726,896,2726_23,Point,-73.09098331912021;10.609152114591621
Feature,5,2726,896,2726_24,Point,-73.08883120092771;10.601850162749505
Feature,5,2726,896,2726_25,Point,-73.08801025666902;10.593909120669569
Feature,5,2726,896,2726_26,Point,-73.08512379725947;10.587830295658454
Feature,5,2726,896,2726_27,Point,-73.08706098580458;10.580371973444878
Feature,5,2726,896,2726_28,Point,-73.09293370578598;10.573780387931835
Feature,5,2726,896,2726_29,Point,-73.09298508659842;10.565456680284495
Feature,5,2726,896,2726_30,Point,-73.09820410892293;10.559121102923902
Feature,5,2726,896,2726_31,Point,-73.10328183010131;10.554949898135241
Feature,5,2726,896,2726_32,Point,-73.10414123066911;10.548879527163848
Feature,5,2726,896,2726_33,Point,-73.11011965060045;10.545090769969528
Feature,5,2726,896,2726_34,Point,-73.11624998637328;10.540687168809294
Feature,5,2726,896,2726_35,Point,-73.11689005210226;10.533602367300608
Feature,5,2726,896,2726_36,Point,-73.1234359138004;10.53071867611355
Feature,5,2726,896,2726_37,Point,-73.12650799977096;10.52641681990803
Feature,5,2726,896,2726_38,Point,-73.13157137119386;10.52985203449844
Feature,5,2726,896,2726_39,Point,-73.1335750451944;10.530856825335054
Feature,1,2735,2726,2735_1,Point,-73.1289222994385;10.52983499735799
Feature,1,2735,2726,2735_2,Point,-73.12938339867625;10.529114540934156
Feature,2,2750;2858;2859,2660,2750_1,Point,-73.11797123297303;10.51295626889654
Feature,2,2750,2660,2750_2,Point,-73.12451878915832;10.51181988391339
Feature,2,2750,2660,2750_3,Point,-73.13106703869296;10.51237135735914
Feature,2,2750,2660,2750_4,Point,-73.13602883800506;10.50572175328544
Feature,2,2750,2660,2750_5,Point,-73.14085501271634;10.505045781510121
Feature,2,2751;3190;3191,2660,2751_1,Point,-73.09202164126368;10.499332266282897
Feature,2,2751,2660,2751_2,Point,-73.09628943974138;10.501242842760588
Feature,2,2751,2660,2751_3,Point,-73.10341355882476;10.500413684822865
Feature,2,2751,2660,2751_4,Point,-73.10756269763411;10.500166508040188
Feature,2,2751,2660,2751_5,Point,-73.11410269407996;10.500205203164317
Feature,2,2751,2660,2751_6,Point,-73.12043647632696;10.50149044221655
Feature,2,2751,2660,2751_7,Point,-73.12694716862812;10.500082553611925
Feature,2,2751,2660,2751_8,Point,-73.13258349330333;10.502582193724782
Feature,2,2751,2660,2751_9,Point,-73.1390121000562;10.50286542776504
Feature,2,2751,2660,2751_10,Point,-73.14085501271634;10.505045781510121
Feature,1,2752,2750,2752_1,Point,-73.1333303335596;10.510787081774572
Feature,1,2752,2750,2752_2,Point,-73.13342276176465;10.510606829957743
Feature,2,2775;2868;2869,2705,2775_1,Point,-73.12046086990755;10.448517732806794
Feature,2,2775,2705,2775_2,Point,-73.1257873029073;10.449942678436603
Feature,2,2775,2705,2775_3,Point,-73.1315966193944;10.449540428020839
Feature,2,2776,2705,2776_1,Point,-73.13506324247855;10.434862885335857
